"code","iso","country","TCC.raw.2002","TCC.raw.2003","TCC.raw.2004","TCC.raw.2005","TCC.raw.2006","TCC.raw.2007","TCC.raw.2008","TCC.raw.2009","TCC.raw.2010","TCC.raw.2011","TCC.raw.2012","TCC.raw.2013","TCC.raw.2014","TCC.raw.2015","TCC.raw.2016","TCC.raw.2017","TCC.raw.2018","TCC.raw.2019","TCC.raw.2020"
428,"LVA","Latvia",29187,21325,30651,40737,38915,36143,29320,34927,48523,44752,34314,27840,32321,30935,45160,47318,47113,57663,50738
422,"LBN","Lebanon",86,86,112,310,155,281,405,349,120,146,179,183,176,190,302,337,295,427,531
426,"LSO","Lesotho",5,5,8,4,4,6,9,6,5,5,6,11,21,1,26,10,11,13,20
430,"LBR","Liberia",57058,21679,6242,11346,36331,44395,36277,75250,20393,34509,72270,156191,164977,186591,169192,204082,205902,172401,220859
434,"LBY","Libya",41,27,12,23,17,6,6,6,10,11,6,115,15,1,2,16,4,3,1
438,"LIE","Liechtenstein",0,0,10,6,12,8,9,5,3,2,4,2,3,1,5,4,7,12,3
440,"LTU","Lithuania",10351,8919,13110,20392,17457,16045,15212,14412,21675,21748,17621,13966,16044,15875,25725,25987,19837,24716,23113
442,"LUX","Luxembourg",91,104,312,68,367,502,986,217,881,449,445,349,431,328,523,416,460,512,658
446,"MAC","Macao",1,0,0,0,3,5,4,2,1,1,1,0,1,1,0,4,1,3,1
450,"MDG","Madagascar",94453,94919,86334,99563,80916,197103,130193,142765,114146,165434,131969,306786,428442,310255,394900,528782,378020,263463,249673
454,"MWI","Malawi",4968,8872,7358,12769,6927,9460,12529,5083,5071,10619,13857,13003,22230,13200,16613,19240,19522,14715,20355
458,"MYS","Malaysia",313321,184211,352301,375809,334113,405365,368142,623026,430776,463283,628856,334140,648223,456118,568108,485702,440302,397798,270799
462,"MDV","Maldives",5,2,2,4,4,6,7,5,3,11,2,4,3,0,0,0,0,0,0
466,"MLI","Mali",429,83,1211,476,677,674,490,792,268,823,492,2161,1295,922,950,1812,1478,1319,862
470,"MLT","Malta",2,0,3,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0
584,"MHL","Marshall Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
478,"MRT","Mauritania",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,"MUS","Mauritius",157,127,345,179,147,137,196,258,24,541,169,408,684,0,0,0,0,0,0
484,"MEX","Mexico",160714,154297,172044,209962,181716,221316,186656,284632,168553,188829,177085,223138,174438,201362,279850,306104,274828,333946,304638
583,"FSM","Micronesia",0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0
498,"MDA","Moldova",233,101,269,113,176,240,137,192,179,190,1828,179,371,498,849,1112,871,830,1435
