"code","iso","country","SOE.raw.2003","SOE.raw.2004","SOE.raw.2005","SOE.raw.2006","SOE.raw.2007","SOE.raw.2008","SOE.raw.2009","SOE.raw.2010","SOE.raw.2011","SOE.raw.2012","SOE.raw.2013","SOE.raw.2014","SOE.raw.2015","SOE.raw.2016","SOE.raw.2017","SOE.raw.2018","SOE.raw.2019"
831,"GGY","Guernsey",0.009543462,0.008757111,0.009177805,0.008915618,0.008307449,0.008069306,0.008027741,0.007948511,0.007892168,0.006636856,0.006250489,0.007115031,0.00604659,0.0060824,0.004552365,0.005114246,0.004277373
324,"GIN","Guinea",0.00179228,0.001942285,0.001804361,0.00198158,0.002282679,0.002017154,0.002403431,0.001876449,0.002079079,0.002271874,0.002139395,0.002221391,0.002311817,0.002638245,0.002156091,0.00207635,0.002219273
624,"GNB","Guinea-Bissau",0.003457068,0.003917658,0.003313945,0.003283065,0.003613975,0.003534791,0.003499571,0.003829884,0.00363686,0.003185531,0.003360197,0.003504462,0.003405615,0.003691064,0.003361965,0.004017301,0.003946798
328,"GUY","Guyana",0.000385366,0.00033748,0.000364726,0.000339911,0.000334346,0.000332188,0.000362114,0.000362815,0.000332869,0.000350491,0.000326209,0.000336988,0.000358048,0.000382166,0.000306884,0.000315783,0.000327702
332,"HTI","Haiti",0.00179313,0.001653112,0.001503993,0.001540492,0.001437411,0.001381574,0.001351236,0.001168052,0.001212932,0.001200318,0.001232358,0.001225457,0.001240091,0.001132694,0.001048921,0.001081947,0.001068499
336,"VAT","Holy See",0.000277867,0.000261717,0.000253971,0.000260385,0.00026733,0.00024361,0.000204562,0.000236637,0.000221675,0.00018892,0.000193643,0.000277325,0.000196162,0.000107673,0.000303971,0.000107735,0.000127571
340,"HND","Honduras",0.004248615,0.003723901,0.004227193,0.003734818,0.003871527,0.003767992,0.003652862,0.003608735,0.003798252,0.003359753,0.003562115,0.003300024,0.003011214,0.003482951,0.003190136,0.003013067,0.003281444
344,"HKG","Hong Kong",0.106406059,0.126591459,0.127193512,0.134166123,0.131048298,0.127619511,0.126294917,0.116490511,0.116400454,0.114416131,0.117217963,0.123427689,0.12611223,0.124064073,0.106654717,0.112369298,0.114907899
348,"HUN","Hungary",0.037006504,0.033461489,0.035225582,0.032587963,0.027183709,0.025340977,0.021952454,0.019185095,0.019003638,0.017387478,0.0164928,0.01643845,0.015219327,0.014420706,0.013243271,0.013277431,0.012055627
352,"ISL","Iceland",0.002506862,0.002141445,0.002037466,0.001873732,0.00171437,0.001609324,0.001566439,0.001407252,0.001259459,0.001251204,0.001096861,0.001101813,0.000915677,0.000995698,0.000771327,0.000657538,0.000643602
356,"IND","India",0.025326928,0.026559171,0.026968084,0.028447908,0.029170253,0.030944737,0.031065259,0.031887795,0.033551037,0.033210441,0.033350765,0.034459214,0.035378175,0.036187864,0.035548736,0.03672373,0.037371797
360,"IDN","Indonesia",0.015947872,0.016593137,0.016559596,0.017415054,0.01796398,0.018984138,0.020437849,0.021385052,0.021034138,0.021652023,0.022054036,0.022340577,0.022754465,0.024026775,0.020424401,0.020195681,0.020414893
364,"IRN","Iran",0.030130537,0.031816036,0.032067359,0.031387454,0.031489649,0.03106687,0.03034594,0.031078658,0.031175463,0.032802962,0.033320659,0.034995798,0.036201617,0.037344724,0.039420878,0.038926781,0.041992291
368,"IRQ","Iraq",0.024227573,0.025203737,0.0259259,0.024484522,0.024646992,0.024721246,0.024063074,0.02495418,0.024400717,0.026556196,0.027561643,0.028377249,0.029471751,0.031211354,0.032052144,0.031681943,0.032642651
372,"IRL","Ireland",0.006530172,0.005644564,0.005244679,0.005194818,0.004834578,0.004321514,0.004007756,0.003879362,0.003504708,0.003299855,0.003194524,0.003188151,0.002840548,0.002954953,0.002666305,0.002659773,0.002489382
833,"IMN","Isle of Man",0.003733139,0.00277724,0.002732322,0.002639196,0.002439933,0.002314026,0.002098783,0.001859646,0.001866564,0.00171811,0.001675847,0.00165357,0.001439244,0.001463128,0.001253754,0.00124509,0.001211135
376,"ISR","Israel",0.106335017,0.1059475,0.107890968,0.107269485,0.108580076,0.109148641,0.110000959,0.115154688,0.101085924,0.106710585,0.106838521,0.110916781,0.109227729,0.110427839,0.09147457,0.092176887,0.092016983
380,"ITA","Italy",0.015925059,0.014462822,0.013203903,0.01254576,0.011252458,0.009951976,0.008810231,0.007551332,0.007561184,0.007136204,0.00648967,0.006103691,0.005898286,0.005368873,0.004882294,0.004375632,0.004092857
388,"JAM","Jamaica",0.012555892,0.011745268,0.011914302,0.010544883,0.010342533,0.009219692,0.008765258,0.008494494,0.008309004,0.007949913,0.008093883,0.008139191,0.007820244,0.008147578,0.007088815,0.006661463,0.006914048
392,"JPN","Japan",0.021105195,0.019805428,0.017831927,0.017444275,0.016976272,0.016074701,0.015190986,0.01413554,0.013652465,0.012912647,0.012700612,0.012412829,0.012207101,0.011867118,0.010988405,0.010445641,0.010188837
