"code","iso","country","NXA.raw.1990","NXA.raw.1991","NXA.raw.1992","NXA.raw.1993","NXA.raw.1994","NXA.raw.1995","NXA.raw.1996","NXA.raw.1997","NXA.raw.1998","NXA.raw.1999","NXA.raw.2000","NXA.raw.2001","NXA.raw.2002","NXA.raw.2003","NXA.raw.2004","NXA.raw.2005","NXA.raw.2006","NXA.raw.2007","NXA.raw.2008","NXA.raw.2009","NXA.raw.2010","NXA.raw.2011","NXA.raw.2012","NXA.raw.2013","NXA.raw.2014","NXA.raw.2015","NXA.raw.2016","NXA.raw.2017","NXA.raw.2018","NXA.raw.2019"
36,"AUS","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00238576950137381,0.00317507757646163,0.00103244098507083,0.00257687929599637,0.00386569874469722,0.003475463370048,0.00543784847871964,0.00708692094548269,0.00923989118538349,0.0102845091283987,0.00973588874640208,0.00661226228947087,0.000741060039155084,-0.00301833172512558,-0.00850584646260874,-0.0150964965680813,-0.0176871321808728,-0.0230315505705829,-0.0210766702657368,-0.0153547250469785,-0.00887977557322337
40,"AUT","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0155589351145485,-0.0110120750165563,0.00123191328220851,0.00825163350330582,0.014975599808799,0.0170596764965163,0.0174652635578225,0.0164974799037565,0.00789781527017963,-0.00185149715172197,-0.0259664995629565,-0.0493510706943544,-0.0698812701953434,-0.0848209277182653,-0.0857430683146838,-0.0832960656789883,-0.0726474128810184,-0.0641710372768848,-0.0621931117809775,-0.0653666354094663,-0.0699104390844092
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0102500569229708,-0.0169790244687947,-0.0456158400088618,-0.0887278844650154,-0.0829423556397842,-0.06053867482796,-0.0259659467924569,-0.0102560979784985,-0.0112512666288077,-0.00499684313242116,-0.0285179155592114,-0.0370883587359093,-0.0437058900237663,-0.0426274593231071,-0.0246738662082834,-0.00752112335157673,0.00465331583473505,0.0127305815271506,0.0162701938762067,0.0247013408646208,0.0203099742895736
44,"BHS","Bahamas",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0732392721370454,0.0661898779657188,0.0566591180820888,0.0438403490088919,0.031982429969031,0.0218330979207748,0.0217584220396385,0.0225453225950192,0.0171035778631958,0.0046448010923652,-0.000335276738209033,-0.00528708232856226,-0.0109051885913304,0.00604420420616592,0.0292714402119199,0.0489445275829135,0.0666014245257831,0.0769611969006643,0.060448585797215,0.0223138573231907,-0.00753559871058765
48,"BHR","Bahrain",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0331388039421765,0.0240876598879975,0.00993066078809268,0.00753201911334012,0.00969957687127931,0.0123646155580523,0.0242169954918712,0.0332556940924593,0.0369694295228828,0.0406301759440311,0.0354798446079603,0.0253548466170019,0.0107474862608505,-0.00195052498901064,-0.0135216700368912,-0.0299219132746274,-0.0223611070277517,-0.0105367528116036,-0.00117395627071311,0.00576763216523402,0.0115171405797372
50,"BGD","Bangladesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0532689908855901,0.0477238797852351,0.0449904697646453,0.042584470898732,0.0381821097484596,0.0339411795997644,0.0357513840685071,0.0382290368347384,0.0399160968650405,0.0422058584822333,0.0425049543431808,0.0424225538746545,0.0483430420868947,0.0524182761724463,0.0517157046270837,0.0519809812358873,0.0502421410380289,0.0476544325718802,0.0450266650450157,0.0452520761644752,0.0423030570973488
52,"BRB","Barbados",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0074071293353391,0.00555877197957733,0.0366544247811749,0.0534680015473146,0.0633230917583387,0.0517043162647797,0.0512512696963037,0.0375451062369276,0.0256279845245908,0.0153519904772315,0.00427070527657669,0.00645426347179145,0.0115633659094432,0.0305966552585251,0.0539179421696148,0.0556697614888959,0.0644158036126463,0.065534306822884,0.0371824268309009,0.0101021709928042,-0.0185474175382385
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0160604108626428,-0.0332387742683653,-0.0611896880641451,-0.0666867089676447,-0.0568007260398924,-0.032908928312022,-0.0167700857696877,-0.000533038725719048,0.00948467253444463,0.0218099421704938,0.0219996036049375,0.0236333784880411,0.0208068276418314,0.0187447507006027,0.0127605497957624,0.00843175630387516,-0.00177723480746836,-0.00993842713221527,-0.0216840717197806,-0.020949512696527,-0.0335642943448196
56,"BEL","Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0190391266638035,-0.026602812331512,-0.03281495335776,-0.0437877111846594,-0.0491160120457069,-0.0460833667548396,-0.0438217855084206,-0.0471068455053086,-0.0517971159324417,-0.0583794484943413,-0.0758347678917662,-0.08495056906098,-0.0946844995114328,-0.109289872649255,-0.116152540976538,-0.11185032661589,-0.0988734666806395,-0.08973528421093,-0.0845055171913296,-0.0804904357489138,-0.0843648550747083
84,"BLZ","Belize",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.041813328916114,0.0481028616447496,0.0696357291351635,0.072007846546591,0.0654321530189386,0.0566963434661973,0.0505494838182574,0.0350847379879102,0.0274071673034115,-0.00687769656809108,-0.0684640786586499,-0.0954791479597157,-0.0771991441701275,-0.0451429054754091,-0.0215459405423234,0.00100173924686175,0.0178523414092893,0.0364755005327453,0.0411355165297165,0.0224817772558963,-0.00171379115100258
