"code","iso","country","CDL.raw.2001","CDL.raw.2002","CDL.raw.2003","CDL.raw.2004","CDL.raw.2005","CDL.raw.2006","CDL.raw.2007","CDL.raw.2008","CDL.raw.2009","CDL.raw.2010","CDL.raw.2011","CDL.raw.2012","CDL.raw.2013","CDL.raw.2014","CDL.raw.2015","CDL.raw.2016","CDL.raw.2017"
196,"CYP","Cyprus",43.45,19.177,17.255,50.891,29.679,40.976,344.698,79.992,59.85,49.167,64.038,51.993,63.159,129.31,30.943,315.653,293.745
203,"CZE","Czech Republic",1212.8,2386.872,1268.316,4764.002,9141.962,2851.065,7530.563,5806.245,4538.144,5216.476,7556.035,4618.541,2316.242,4679.958,2370.959,7971.285,9342.534
180,"COD","Dem. Rep. Congo",326103.312,365718.297,182970.652,283646.383,344271.264,327144.967,326112.075,283092.373,443701.985,576266.815,289610.59,426940.428,659071.282,962444.048,657871.876,992864.731,1046563.32
208,"DNK","Denmark",1405.327,363.901,498.134,749.708,2991.695,1694.783,1413.37,1898.388,2091.966,1311.838,877.616,1327.18,555.501,1779.681,765.526,1539.555,1521.523
262,"DJI","Djibouti",0.022,0.023,-9999,-9999,0.068,-9999,0.159,0.023,-9999,-9999,0.023,0.069,0.116,0.067,-9999,-9999,-9999
212,"DMA","Dominica",11.213,5.525,13.991,44.469,26.901,10.464,21.017,41.87,42.446,51.817,25.365,75.424,12.045,6.431,1.123,3.696,14486.595
214,"DOM","Dominican Republic",7104.915,6611.024,7074.368,12130.365,14176.727,8545.605,9921.677,13576.786,8875.673,8666.575,8152.758,11522.302,9973.535,10466.407,10458.315,17029.946,20229.834
218,"ECU","Ecuador",26873.828,18415.455,8103.331,22368.684,25753.586,20965.621,38834.81,33105.081,35599.887,20365.112,27388.803,46573.551,34282.236,20945.974,19236.989,27481.491,47013.18
818,"EGY","Egypt",38.135,23.261,27.93,53.952,25.411,15.372,29.953,25.674,17.971,36.118,28.547,142.386,219.647,165.877,61.682,69.612,138.767
222,"SLV","El Salvador",4903.225,2379.841,3061.218,2300.34,2997.071,2336.052,1495.305,1662.364,2168.316,1414.594,1577.715,1283.309,1317.978,1470.553,1445.432,3269.091,2852.291
226,"GNQ","Equatorial Guinea",2678.068,2170.154,1416.81,306.187,1099.147,879.491,2239.569,3657.103,4141.549,4430.186,5626.783,3641.374,5168.433,14174.974,5482.53,6939.485,8817.41
232,"ERI","Eritrea",1.279,0.546,0.163,0.603,0.176,0.093,1.079,0.326,0.313,0.351,0.9,2.073,3.774,1.447,0.442,0.342,1.708
233,"EST","Estonia",5878.047,7643.08,1826.292,6181.086,4972.925,7419.351,5440.783,6170.02,6329.662,7255.799,9261.748,5859.021,5744.375,8022.234,8647.955,12564.945,13576.203
748,"SWZ","Eswatini",1636.105,904.54,1397.564,1289.325,1087.197,2545.565,1384.927,955.11,2170.593,1530.64,478.074,569.737,509.426,1173.752,709.336,1349.68,1870.348
231,"ETH","Ethiopia",4044.526,4873.802,4722.385,4833.666,5786.888,4096.518,8661.442,8522.212,9378.903,6886.316,5065.065,13775.434,13717.406,15415.209,5046.837,10331.28,15477.721
234,"FRO","Faeroe Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
238,"FLK","Falkland Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
242,"FJI","Fiji",741.16,487.681,1087.346,1314.545,1132.155,1264.047,1466.172,1576.078,1173.796,1520.67,309.372,797.794,1645.578,2565.343,1211.016,5586.012,2111.305
246,"FIN","Finland",30553.423,29110.003,18235.235,29489.909,46177.002,37101.981,29362.956,39280.7,35661.679,31800.853,30964.062,30501.661,27858.91,35610.318,32429.762,47435.322,67607.42
