"code","iso","country","REC.raw.1990","REC.raw.1995","REC.raw.2000","REC.raw.2005","REC.raw.2010","REC.raw.2015","REC.raw.2020"
586,"PAK","Pakistan","0.8866","0.8830","0.8832","0.8776","0.8723","0.8662","0.8623"
585,"PLW","Palau","0.7738","0.7793","0.7819","0.7802","0.7786","0.7760","0.7762"
591,"PAN","Panama","0.8983","0.8929","0.8885","0.8843","0.8742","0.8670","0.8584"
598,"PNG","Papua New Guinea","0.9462","0.9428","0.9442","0.9443","0.9415","0.9391","0.9368"
600,"PRY","Paraguay","0.8384","0.8377","0.8428","0.8408","0.8351","0.8292","0.8187"
604,"PER","Peru","0.9379","0.9329","0.9317","0.9278","0.9203","0.9149","0.9079"
608,"PHL","Philippines","0.5663","0.5664","0.5555","0.5462","0.5309","0.5193","0.5011"
616,"POL","Poland","0.6860","0.6780","0.6599","0.6496","0.6360","0.6252","0.6174"
620,"PRT","Portugal","0.7800","0.7771","0.7704","0.7697","0.7694","0.7680","0.7653"
634,"QAT","Qatar","0.9467","0.9470","0.9441","0.9438","0.9415","0.9401","0.9396"
178,"COG","Republic of Congo","0.8494","0.8556","0.8542","0.8520","0.8452","0.8426","0.8277"
642,"ROU","Romania","0.8823","0.8842","0.8848","0.8787","0.8762","0.8729","0.8698"
643,"RUS","Russia","0.9576","0.9671","0.9656","0.9591","0.9552","0.9516","0.9472"
646,"RWA","Rwanda","0.9206","0.9257","0.9247","0.9147","0.9048","0.8957","0.8854"
652,"BLM","Saint Barthelemy","0.7569","0.7569","0.7569","0.7569","0.7569","0.7569","0.7569"
659,"KNA","Saint Kitts and Nevis","0.9129","0.9101","0.9082","0.9070","0.9074","0.9074","0.9074"
662,"LCA","Saint Lucia","0.8707","0.8702","0.8694","0.8687","0.8683","0.8670","0.8668"
670,"VCT","Saint Vincent and the Grenadines","0.8695","0.8692","0.8685","0.8680","0.8674","0.8670","0.8666"
882,"WSM","Samoa","0.4680","0.4638","0.4532","0.4358","0.4359","0.4272","0.4243"
674,"SMR","San Marino","0.8092","0.7985","0.7920","0.7904","0.7897","0.7838","0.7842"
678,"STP","Sao Tome and Principe","0.9027","0.9038","0.9040","0.8919","0.8827","0.8737","0.8309"
682,"SAU","Saudi Arabia","0.8189","0.8194","0.8189","0.8171","0.8162","0.8140","0.8124"
686,"SEN","Senegal","0.9101","0.9107","0.9060","0.9003","0.8979","0.8913","0.8806"
688,"SRB","Serbia","0.9902","0.9915","0.9913","0.9908","0.9904","0.9900","0.9900"
690,"SYC","Seychelles","0.7800","0.7768","0.7689","0.7668","0.7623","0.7557","0.7563"
694,"SLE","Sierra Leone","0.9107","0.9217","0.9382","0.9237","0.9179","0.9112","0.9026"
702,"SGP","Singapore","0.5240","0.5105","0.5035","0.4974","0.4913","0.4873","0.4830"
534,"SXM","Sint Maarten","0.7374","0.7362","0.7352","0.7380","0.7370","0.7386","0.7373"
703,"SVK","Slovakia","0.8770","0.8784","0.8763","0.8738","0.8715","0.8697","0.8685"
705,"SVN","Slovenia","0.7735","0.7738","0.7661","0.7601","0.7579","0.7541","0.7519"
90,"SLB","Solomon Islands","0.9537","0.9478","0.9554","0.9566","0.9512","0.9428","0.9388"
706,"SOM","Somalia","0.9142","0.9258","0.9278","0.9273","0.9261","0.9253","0.9312"
710,"ZAF","South Africa","0.7384","0.7403","0.7382","0.7326","0.7288","0.7238","0.7175"
410,"KOR","South Korea","0.3880","0.3671","0.3568","0.3477","0.3411","0.3345","0.3290"
728,"SSD","South Sudan","0.8892","0.8892","0.8892","0.8892","0.8892","0.8971","0.8936"
724,"ESP","Spain","0.7398","0.7371","0.7295","0.7260","0.7267","0.7237","0.7226"
144,"LKA","Sri Lanka","0.8408","0.8280","0.8152","0.8058","0.7895","0.7723","0.7546"
275,"PSE","State of Palestine","0.9878","0.9863","0.9857","0.9878","0.9880","0.9872","0.9853"
729,"SDN","Sudan","0.9231","0.9218","0.9187","0.9171","0.9145","0.9130","0.9107"
740,"SUR","Suriname","0.8649","0.8726","0.8738","0.8593","0.8503","0.8380","0.8310"
752,"SWE","Sweden","0.6106","0.6105","0.6077","0.6059","0.6054","0.6038","0.6032"
756,"CHE","Switzerland","0.7027","0.7033","0.7022","0.7018","0.7010","0.7002","0.6994"
760,"SYR","Syria","0.9456","0.9388","0.9391","0.9369","0.9341","0.9297","0.9188"
158,"TWN","Taiwan","0.8657","0.8636","0.8626","0.8622","0.8620","0.8620","0.8619"
762,"TJK","Tajikistan","0.8572","0.9080","0.9069","0.8900","0.8797","0.8739","0.8611"
834,"TZA","Tanzania","0.9178","0.9201","0.9166","0.9067","0.8962","0.8848","0.8766"
764,"THA","Thailand","0.7059","0.6685","0.6724","0.6509","0.6369","0.6207","0.6000"
626,"TLS","Timor-Leste","0.8993","0.8841","0.8976","0.8986","0.8905","0.8813","0.8650"
768,"TGO","Togo","0.9668","0.9695","0.9700","0.9713","0.9712","0.9699","0.9651"
776,"TON","Tonga","0.8920","0.8871","0.8848","0.8826","0.8825","0.8788","0.8785"
780,"TTO","Trinidad and Tobago","0.9163","0.9135","0.8971","0.8733","0.8563","0.8428","0.8381"
788,"TUN","Tunisia","0.9081","0.9062","0.9027","0.9000","0.8972","0.8944","0.8913"
792,"TUR","Turkey","0.7139","0.7103","0.7042","0.6971","0.6934","0.6882","0.6804"
795,"TKM","Turkmenistan","0.8738","0.8930","0.8882","0.8735","0.8631","0.8572","0.8469"
796,"TCA","Turks and Caicos Islands","0.7598","0.7537","0.7488","0.7506","0.7396","0.7343","0.7347"
798,"TUV","Tuvalu","0.8572","0.8493","0.8316","0.8208","0.8148","0.8023","0.8033"
800,"UGA","Uganda","0.8493","0.8362","0.8222","0.8075","0.7898","0.7770","0.7586"
804,"UKR","Ukraine","0.9557","0.9613","0.9617","0.9581","0.9576","0.9564","0.9548"
784,"ARE","United Arab Emirates","0.7717","0.7795","0.7796","0.7700","0.7652","0.7591","0.7551"
826,"GBR","United Kingdom","0.6605","0.6600","0.6589","0.6584","0.6584","0.6581","0.6578"
840,"USA","United States of America","0.8680","0.8643","0.8625","0.8620","0.8570","0.8541","0.8516"
858,"URY","Uruguay","0.7523","0.7523","0.7523","0.7523","0.7523","0.7523","0.7523"
860,"UZB","Uzbekistan","0.6973","0.6953","0.6908","0.6886","0.6888","0.6864","0.6837"
548,"VUT","Vanuatu","0.5000","0.4927","0.4895","0.4947","0.4803","0.4748","0.4714"
862,"VEN","Venezuela","0.7972","0.7941","0.7965","0.7950","0.7917","0.7929","0.7866"
704,"VNM","Viet Nam","0.7223","0.6874","0.6564","0.6219","0.5929","0.5658","0.5396"
876,"WLF","Wallis and Futuna Islands","0.7810","0.7810","0.7810","0.7810","0.7810","0.7623","0.7623"
732,"ESH","Western Sahara","0.8631","0.8631","0.8631","0.8631","0.8631","0.8360","0.8360"
887,"YEM","Yemen","0.8456","0.8394","0.8274","0.8228","0.8170","0.8111","0.8081"
894,"ZMB","Zambia","0.8965","0.9089","0.9098","0.9037","0.8949","0.8844","0.8737"
716,"ZWE","Zimbabwe","0.7537","0.7573","0.7550","0.8014","0.8175","0.7963","0.7818"
